ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
abui1241,Abui,,-8.31058,124.588,abui1241,abz
acha1249,Longchuan Achang,,24.3479,97.7438,acha1249,acn
acha1250,Achagua,,4.38649,-72.2005,acha1250,aca
ache1246,Aché,,-25.5865,-56.4697,ache1246,guq
achi1256,Achi,,15.073,-90.3513,achi1256,acr
adan1251,Adang,,-8.18958,124.448,adan1251,adn
adny1235,Adnyamathanha,,-30.1451,138.671,adny1235,adt
aghe1239,Aghem,,6.38956,10.0807,aghe1239,agq
aghu1254,Aghu Tharnggalu,,-13.735,142.426,aghu1254,ggr
agua1252,Aguacateco,,15.3307,-91.3153,agua1252,agu
ahte1237,Ahtena,,61.7068,-144.889,ahte1237,aht
ainu1240,Hokkaido Ainu,,43.633654,142.46167,ainu1240,ain
akit1240,Akita,,,,akit1240,
akka1240,Akkadian,,33.1,44.1,akka1240,akk
akla1241,Aklanon,,11.5543,122.354,akla1241,akl
akoo1248,Akoose,,4.9243,9.65522,akoo1248,bss
akwa1248,Akwa,,-0.39897,15.4623,akwa1248,akw
alng1239,Alngith,,-12.5324,141.938,alng1239,aid
alor1249,Alor-Pantar,,,,alor1249,
alun1238,Alune,,-3.11477,128.394,alun1238,alp
alya1239,Alyawarr,,-21.0427,136.835,alya1239,aly
amba1263,Amba (Uganda),,0.81206,30.0014,amba1263,rwm
amba1265,Ambai,,-1.88126,136.526,amba1265,amk
amba1266,Amba (Solomon Islands),,-11.2958,166.498,amba1266,utp
ambo1250,Ambonese Malay,,-3.71342,128.184,ambo1250,abs
amdo1237,Amdo Tibetan,,34.5177,100.485,amdo1237,adx
amga1235,Amganad Ifugao,,16.9016,121.042,amga1235,ifa
amha1245,Amharic,,11.708182,39.543456,amha1245,amh
amis1246,Amis,,23.0917,121.348,amis1246,ami
anak1240,Anakalangu,,-9.63425,119.605,anak1240,akg
anam1249,Anambé,,-2.71119,-49.303,anam1249,aan
anau1243,Anauyá,,,,anau1243,
anci1242,Ancient Greek,,39.8155,21.9129,anci1242,grc
anei1239,Aneityum,,-20.1864,169.825,anei1239,aty
anga1288,Angami Naga,,25.6841,93.8668,anga1288,njm
angu1242,Anguthimri,,-12.395,141.755,angu1242,awg
anma1239,Anmatyerre,,-22.2853,133.286,anma1239,amx
ante1238,Antekerrepenh,,,,ante1238,
anut1237,Anuta,,-11.61,169.85,anut1237,aud
aona1235,Ao Naga,,26.3241,94.3824,aona1235,njo
apat1240,Apatani,,27.1933,93.7284,apat1240,apt
apur1254,Apurinã,,-8.21692,-66.7714,apur1254,apu
aput1237,Aputai,,-7.84732,126.496,aput1237,apx
arab1267,Arabana,,-28.705,135.449,arab1267,ard
arak1252,Araki,,-15.632997,166.952542,arak1252,akr
aram1259,Aramaic,,,,aram1259,
araw1273,Araweté,,-4.90246,-52.5001,araw1273,awt
araw1276,Lokono,,5.64295,-56.9243,araw1276,arw
arbe1236,Arbëreshë Albanian,,38.911,16.7164,arbe1236,aae
argo1244,Argobba,,10.6596,39.756,argo1244,agj
arom1237,Aromanian,,40.616,21.2,arom1237,rup
